voyage_id,origin_port,destination_port,carrier,vessel_type,vessel_age_yrs,vessel_capacity_teu,route_distance_nm,month,winter_flag,planned_speed_kn,actual_speed_kn,speed_deviation_kn,weather_severity,port_congestion_idx,fuel_efficiency_ratio,load_factor,mechanical_incident,warehouse_buffer_hrs,truck_slots_available,sla_deadline_hrs,shipping_cost_usd,delay_probability,delayed,delay_hours
V0010,Mumbai,Jebel Ali,MSC,Container,7,2000,1100,3,0,20.04,18.67,1.36,0.399,0.426,1.071,0.89,0,24,4,24,5027.87,0.2789,1,1.8
V0011,Busan,Long Beach,HMM,Tanker,19,5000,5500,1,1,20.6,19.82,0.77,0.449,0.308,0.799,0.799,0,48,16,24,4714.2,0.2721,1,28.6
V0012,Mumbai,Jebel Ali,MSC,Bulk Carrier,19,5000,1100,3,0,20.88,20.76,0.12,0.379,0.188,0.89,0.972,0,48,15,48,4245.55,0.2077,0,0.0
V0013,Mumbai,Jebel Ali,MSC,Container,11,10000,1100,12,1,15.2,17.53,-2.33,0.465,0.359,0.908,0.99,0,72,8,24,4343.66,0.1844,0,0.0
V0014,Chennai,Nhava Sheva,PIL,Tanker,5,18000,800,4,0,23.39,23.94,-0.55,0.345,0.156,0.931,0.998,0,24,8,48,4843.05,0.0503,0,0.0
V0015,Port Klang,Felixstowe,Evergreen,Ro-Ro,5,10000,8100,8,0,15.81,14.41,1.4,0.298,0.442,0.94,0.851,0,48,11,24,6572.21,0.2561,0,0.0
V0016,Colombo,Hamburg,Hapag-Lloyd,Container,8,2000,7800,9,0,20.23,19.6,0.63,0.229,0.121,0.915,0.97,0,48,17,24,5924.62,0.133,1,17.2
V0017,Chennai,Nhava Sheva,PIL,Container,10,24000,800,4,0,16.23,15.66,0.57,0.367,0.369,0.922,0.732,0,72,3,48,4012.09,0.2245,0,0.0
V0018,Chennai,Nhava Sheva,PIL,Tanker,6,24000,800,12,1,17.07,14.05,3.02,0.147,0.06,0.863,0.937,0,72,7,48,4043.03,0.2708,0,0.0
V0019,Mumbai,Jebel Ali,MSC,Bulk Carrier,15,18000,1100,7,0,19.46,18.22,1.24,0.04,0.261,0.733,0.959,0,24,12,72,5479.41,0.199,0,0.0
V0020,Hong Kong,Los Angeles,ONE,Container,16,24000,7250,1,1,18.17,17.6,0.57,0.649,0.216,0.892,0.957,0,48,1,96,5495.6,0.4892,1,6.8
V0021,Port Klang,Felixstowe,Evergreen,Container,17,10000,8100,9,0,15.6,13.87,1.73,0.662,0.592,0.902,0.924,0,48,11,96,6343.71,0.5269,1,13.2
V0022,Singapore,Rotterdam,Maersk,Container,8,24000,8400,11,0,15.71,16.15,-0.44,0.244,0.556,0.98,0.733,0,72,5,48,4051.46,0.0991,0,0.0
V0023,Chennai,Nhava Sheva,PIL,Container,8,2000,800,12,1,18.18,17.65,0.53,0.215,0.08,0.932,0.622,1,48,6,48,3156.61,0.1103,1,1.0
V0024,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,9,10000,7800,4,0,21.57,19.91,1.66,0.435,0.677,0.971,0.7,0,24,14,24,4181.69,0.364,0,0.0
V0025,Hong Kong,Los Angeles,ONE,Container,2,5000,7250,9,0,22.98,22.77,0.21,0.375,0.381,1.037,0.895,0,24,17,96,5663.94,0.262,0,0.0
V0026,Hong Kong,Los Angeles,ONE,Container,15,5000,7250,3,0,14.84,15.45,-0.61,0.214,0.456,0.913,0.655,1,48,3,72,4633.97,0.2129,0,0.0
V0027,Singapore,Rotterdam,Maersk,Bulk Carrier,18,5000,8400,11,0,17.93,16.74,1.19,0.363,0.589,0.751,0.765,0,48,4,72,4519.27,0.3893,1,10.1
V0028,Chennai,Nhava Sheva,PIL,Container,3,18000,800,5,0,15.0,14.83,0.17,0.423,0.067,0.882,0.804,0,24,1,48,4520.66,0.0978,0,0.0
V0029,Colombo,Hamburg,Hapag-Lloyd,Container,17,18000,7800,1,1,14.17,11.64,2.53,0.115,0.487,0.799,0.822,0,12,4,48,5754.08,0.4825,0,0.0
V0030,Port Klang,Felixstowe,Evergreen,Bulk Carrier,4,10000,8100,11,0,20.62,20.32,0.3,0.306,0.689,0.959,0.971,0,48,14,24,6317.87,0.3565,0,0.0
V0031,Shanghai,Dubai,COSCO Shipping,Tanker,4,5000,6200,3,0,20.02,18.87,1.15,0.093,0.138,0.941,0.848,0,72,7,96,4695.5,0.0526,0,0.0
V0032,Colombo,Hamburg,Hapag-Lloyd,Container,14,18000,7800,5,0,15.63,11.8,3.84,0.335,0.873,0.71,0.904,0,72,7,48,5243.19,0.8973,1,26.0
V0033,Singapore,Rotterdam,Maersk,Container,9,18000,8400,6,0,16.34,18.61,-2.27,0.19,0.836,1.048,0.812,0,48,1,72,4960.87,0.2221,0,0.0
V0034,Hong Kong,Los Angeles,ONE,Container,9,10000,7250,8,0,14.24,14.01,0.23,0.405,0.667,0.888,0.925,0,72,2,24,5968.96,0.3644,0,0.0
V0035,Port Klang,Felixstowe,Evergreen,Container,18,18000,8100,1,1,22.35,22.28,0.07,0.38,0.602,0.834,0.669,0,24,3,72,4529.77,0.4086,0,0.0
V0036,Colombo,Hamburg,Hapag-Lloyd,Container,10,5000,7800,3,0,23.75,22.31,1.43,0.131,0.541,1.0,0.644,0,48,18,24,3529.21,0.3063,1,11.9
V0037,Shanghai,Dubai,COSCO Shipping,Container,21,10000,6200,1,1,15.35,12.08,3.28,0.25,0.293,0.7,0.967,0,12,11,72,5570.23,0.5592,1,14.5
V0038,Shanghai,Dubai,COSCO Shipping,Container,4,24000,6200,5,0,16.31,15.69,0.63,0.079,0.711,0.919,0.862,0,48,12,48,5872.16,0.1098,0,0.0
V0039,Mumbai,Jebel Ali,MSC,Container,12,5000,1100,8,0,22.68,20.22,2.46,0.654,0.016,0.849,0.852,0,72,14,72,4885.86,0.6832,1,8.3
V0040,Mumbai,Jebel Ali,MSC,Container,8,10000,1100,4,0,23.26,25.78,-2.51,0.451,0.434,0.893,0.76,0,72,9,48,3633.01,0.352,1,5.3
V0041,Busan,Long Beach,HMM,Container,2,24000,5500,11,0,18.2,16.49,1.71,0.332,0.831,0.966,0.72,0,48,10,96,3489.6,0.2961,0,0.0
V0042,Singapore,Rotterdam,Maersk,Container,13,18000,8400,9,0,14.51,12.34,2.16,0.525,0.23,0.986,0.8,0,48,13,72,4758.81,0.4778,1,42.7
V0043,Chennai,Nhava Sheva,PIL,Container,21,2000,800,6,0,14.39,13.15,1.24,0.221,0.307,0.844,0.604,0,72,3,48,3115.58,0.3947,1,4.4
V0044,Colombo,Hamburg,Hapag-Lloyd,Container,16,5000,7800,6,0,19.74,19.81,-0.07,0.462,0.56,0.917,0.755,0,24,9,72,4503.44,0.3582,1,7.6
V0045,Colombo,Hamburg,Hapag-Lloyd,Tanker,2,2000,7800,11,0,17.93,17.93,-0.01,0.418,0.388,0.984,0.755,0,48,2,24,4219.73,0.1305,0,0.0
V0046,Chennai,Nhava Sheva,PIL,Bulk Carrier,11,18000,800,5,0,14.29,12.26,2.02,0.256,0.139,0.778,0.792,0,24,8,24,4350.21,0.4345,0,0.0
V0047,Busan,Long Beach,HMM,Bulk Carrier,10,10000,5500,10,0,19.83,20.63,-0.8,0.128,0.395,0.734,0.836,0,72,7,48,3643.05,0.1642,0,0.0
V0048,Hong Kong,Los Angeles,ONE,Tanker,15,5000,7250,5,0,14.11,14.66,-0.54,1.0,0.326,0.728,0.981,0,12,9,72,6334.65,0.393,1,24.1
V0049,Hong Kong,Los Angeles,ONE,Container,17,24000,7250,11,0,21.87,20.01,1.86,0.302,0.223,0.859,0.843,0,24,13,72,5464.85,0.2913,0,0.0
V0050,Busan,Long Beach,HMM,Container,8,10000,5500,7,0,17.06,17.67,-0.61,0.084,0.644,0.923,0.948,0,48,7,72,5611.87,0.0979,0,0.0
V0051,Hong Kong,Los Angeles,ONE,Container,18,5000,7250,8,0,14.4,16.92,-2.52,0.427,0.775,0.803,0.8,0,24,7,72,5169.58,0.3863,1,13.6
V0052,Mumbai,Jebel Ali,MSC,Bulk Carrier,9,10000,1100,7,0,19.88,22.23,-2.35,0.522,0.146,0.881,0.832,1,24,1,96,4150.58,0.2421,1,1.8
V0053,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,8,18000,7800,1,1,17.98,16.23,1.75,0.492,0.769,1.081,0.581,0,48,2,48,3829.58,0.6598,0,0.0
V0054,Busan,Long Beach,HMM,Container,14,2000,5500,1,1,23.74,24.79,-1.06,0.163,0.117,0.794,0.61,0,72,17,48,4444.76,0.1887,1,13.4
V0055,Colombo,Hamburg,Hapag-Lloyd,Container,18,5000,7800,10,0,19.44,18.38,1.07,0.655,0.56,0.894,0.811,0,24,10,96,4914.2,0.5747,0,0.0
V0056,Chennai,Nhava Sheva,PIL,Container,20,18000,800,6,0,16.75,17.29,-0.54,0.731,0.111,0.8,0.728,0,72,15,48,3928.46,0.3438,1,1.0
V0057,Shanghai,Dubai,COSCO Shipping,Container,20,10000,6200,3,0,21.09,18.96,2.13,0.198,0.723,0.795,0.909,0,72,16,48,5554.79,0.6377,1,3.5
V0058,Mumbai,Jebel Ali,MSC,Bulk Carrier,21,10000,1100,12,1,16.71,15.11,1.61,0.424,0.156,0.884,0.794,0,48,13,72,4156.83,0.3393,1,5.4
V0059,Port Klang,Felixstowe,Evergreen,Bulk Carrier,12,10000,8100,9,0,23.04,20.6,2.45,0.532,0.215,0.997,0.947,0,48,8,96,5600.12,0.2221,0,0.0
V0060,Mumbai,Jebel Ali,MSC,Container,19,2000,1100,11,0,17.75,16.22,1.53,0.161,0.311,0.791,0.988,0,12,9,72,4196.43,0.483,1,5.1
V0061,Busan,Long Beach,HMM,Ro-Ro,14,5000,5500,7,0,19.5,20.6,-1.1,0.084,0.787,0.924,0.616,1,24,1,24,4150.05,0.2446,0,0.0
V0062,Port Klang,Felixstowe,Evergreen,Bulk Carrier,17,10000,8100,2,1,14.51,10.64,3.86,0.454,0.112,0.859,0.728,0,24,4,48,5149.27,0.7368,1,11.0
V0063,Shanghai,Dubai,COSCO Shipping,Container,21,5000,6200,12,1,18.26,15.36,2.9,0.349,0.297,0.791,0.849,0,24,18,48,5026.54,0.6091,1,21.4
V0064,Busan,Long Beach,HMM,Container,3,2000,5500,3,0,22.32,23.5,-1.17,0.269,0.731,0.986,0.687,1,24,1,48,4719.01,0.4005,0,0.0
V0065,Singapore,Rotterdam,Maersk,Container,7,18000,8400,8,0,22.06,20.96,1.1,0.336,0.831,0.875,0.67,0,24,3,48,4548.78,0.298,0,0.0
V0066,Colombo,Hamburg,Hapag-Lloyd,Container,17,24000,7800,1,1,16.24,16.78,-0.53,0.426,0.185,0.806,0.916,0,48,10,48,4536.52,0.2157,0,0.0
V0067,Shanghai,Dubai,COSCO Shipping,Container,12,18000,6200,5,0,16.26,15.0,1.26,0.147,0.668,0.834,0.991,0,48,2,48,5172.56,0.2679,0,0.0
V0068,Colombo,Hamburg,Hapag-Lloyd,Container,9,24000,7800,10,0,22.17,21.57,0.6,0.575,0.395,0.982,0.898,0,72,18,72,5182.55,0.3329,0,0.0
V0069,Hong Kong,Los Angeles,ONE,Container,15,5000,7250,1,1,23.3,20.86,2.44,0.483,0.347,0.842,0.786,0,24,2,96,4493.25,0.6282,1,32.3
V0070,Singapore,Rotterdam,Maersk,Container,18,24000,8400,12,1,14.95,11.67,3.29,0.379,0.656,0.716,0.749,0,12,13,48,4790.78,0.8253,1,12.5
V0071,Singapore,Rotterdam,Maersk,Tanker,21,5000,8400,9,0,18.5,16.01,2.49,0.125,0.228,0.732,0.793,0,48,9,48,4513.24,0.3802,0,0.0
V0072,Shanghai,Dubai,COSCO Shipping,Container,13,24000,6200,7,0,17.37,16.4,0.98,0.18,0.28,0.7,0.758,0,12,2,48,5387.12,0.2692,0,0.0
V0073,Singapore,Rotterdam,Maersk,Container,21,24000,8400,5,0,22.71,21.86,0.84,0.792,0.501,0.75,0.776,0,48,2,48,3813.13,0.6924,1,5.4
V0074,Port Klang,Felixstowe,Evergreen,Container,8,18000,8100,6,0,14.84,14.27,0.56,0.72,0.535,0.923,0.642,0,48,5,48,4139.32,0.5456,0,0.0
V0075,Singapore,Rotterdam,Maersk,Ro-Ro,14,24000,8400,11,0,16.11,14.13,1.98,0.536,0.805,0.849,0.957,0,48,14,96,5416.69,0.6779,1,23.1
V0076,Colombo,Hamburg,Hapag-Lloyd,Container,8,10000,7800,3,0,21.52,20.24,1.28,0.711,0.386,1.078,0.89,0,24,3,24,4732.17,0.426,0,0.0
V0077,Colombo,Hamburg,Hapag-Lloyd,Container,14,5000,7800,3,0,14.51,13.82,0.7,0.396,0.3,0.906,0.856,0,24,14,48,5513.04,0.3944,1,6.0
V0078,Busan,Long Beach,HMM,Ro-Ro,7,10000,5500,7,0,18.93,18.31,0.62,0.46,0.396,0.972,0.977,1,48,1,48,5041.59,0.4566,1,18.3
V0079,Colombo,Hamburg,Hapag-Lloyd,Tanker,12,10000,7800,7,0,18.42,15.38,3.05,0.417,0.388,0.749,0.678,1,12,9,24,4346.07,0.7241,0,0.0
V0080,Busan,Long Beach,HMM,Tanker,11,2000,5500,7,0,17.34,17.02,0.33,0.49,0.68,0.861,0.587,0,12,16,24,3117.02,0.238,0,0.0
V0081,Colombo,Hamburg,Hapag-Lloyd,Container,11,18000,7800,2,1,17.95,17.59,0.35,0.426,0.515,0.851,0.922,1,48,17,72,4592.58,0.3333,1,10.4
V0082,Port Klang,Felixstowe,Evergreen,Container,13,24000,8100,2,1,19.3,18.58,0.72,0.607,0.27,0.807,0.999,1,24,8,96,5857.04,0.6177,1,54.5
V0083,Chennai,Nhava Sheva,PIL,Bulk Carrier,18,5000,800,11,0,15.61,16.78,-1.17,0.384,0.225,0.756,0.81,0,48,15,72,4300.34,0.251,0,0.0
V0084,Busan,Long Beach,HMM,Ro-Ro,2,18000,5500,12,1,19.72,19.6,0.12,0.247,0.283,0.835,0.576,0,24,8,48,3243.35,0.1129,0,0.0
V0085,Mumbai,Jebel Ali,MSC,Bulk Carrier,21,24000,1100,5,0,22.05,19.31,2.75,0.028,0.203,0.7,0.901,1,12,7,72,5296.25,0.5183,0,0.0
V0086,Hong Kong,Los Angeles,ONE,Bulk Carrier,15,24000,7250,4,0,21.6,18.74,2.86,0.82,0.125,0.92,0.583,0,24,9,24,3933.83,0.5348,1,26.3
V0087,Shanghai,Dubai,COSCO Shipping,Container,20,24000,6200,7,0,15.54,13.12,2.42,0.363,0.746,0.789,0.793,0,24,2,72,5071.25,0.7074,0,0.0
V0088,Colombo,Hamburg,Hapag-Lloyd,Tanker,18,10000,7800,3,0,15.49,13.59,1.91,0.306,0.319,0.779,0.675,0,12,10,48,3981.88,0.4445,0,0.0
V0089,Singapore,Rotterdam,Maersk,Container,15,24000,8400,5,0,16.68,13.97,2.72,0.618,0.678,0.85,0.962,0,24,5,72,5501.1,0.7679,1,32.9
V0090,Chennai,Nhava Sheva,PIL,Container,19,18000,800,2,1,17.61,15.57,2.04,0.068,0.228,0.903,0.753,0,24,16,48,3691.95,0.2846,0,0.0
V0091,Colombo,Hamburg,Hapag-Lloyd,Container,12,5000,7800,1,1,18.08,17.42,0.66,0.438,0.331,0.88,0.954,0,24,1,72,5530.98,0.3102,0,0.0
V0092,Singapore,Rotterdam,Maersk,Container,13,10000,8400,9,0,20.8,19.15,1.65,0.544,0.582,0.913,0.685,0,72,6,72,4199.84,0.4851,0,0.0
V0093,Hong Kong,Los Angeles,ONE,Container,11,18000,7250,4,0,14.57,15.51,-0.95,0.679,0.646,0.822,0.724,0,72,10,24,3936.8,0.5123,1,85.8
V0094,Hong Kong,Los Angeles,ONE,Container,5,5000,7250,8,0,14.35,14.04,0.31,0.348,0.439,0.901,0.976,0,24,10,48,6146.29,0.2005,0,0.0
V0095,Hong Kong,Los Angeles,ONE,Bulk Carrier,1,18000,7250,12,1,17.92,19.66,-1.74,0.517,0.734,1.018,0.641,0,24,19,48,3339.44,0.371,0,0.0
V0096,Singapore,Rotterdam,Maersk,Container,3,18000,8400,7,0,20.97,19.63,1.34,0.461,0.455,1.1,0.81,0,48,13,24,5372.56,0.2735,1,33.4
V0097,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,19,5000,7800,12,1,15.93,13.94,1.99,0.584,0.236,0.924,0.725,0,72,19,48,4975.01,0.6482,0,0.0
V0098,Hong Kong,Los Angeles,ONE,Container,7,10000,7250,1,1,20.42,20.1,0.31,0.464,0.317,0.977,0.898,0,72,3,48,5218.41,0.3325,0,0.0
V0099,Port Klang,Felixstowe,Evergreen,Container,12,18000,8100,10,0,16.6,14.22,2.38,0.482,0.408,0.892,0.608,1,12,13,48,5280.55,0.5636,0,0.0
V0100,Busan,Long Beach,HMM,Container,15,10000,5500,11,0,22.86,23.01,-0.15,0.449,0.286,0.962,0.747,0,48,4,48,4398.31,0.2418,0,0.0
V0101,Singapore,Rotterdam,Maersk,Container,5,2000,8400,7,0,22.96,25.19,-2.23,0.315,0.23,1.014,0.865,0,48,8,24,5184.27,0.0943,0,0.0
V0102,Singapore,Rotterdam,Maersk,Container,15,2000,8400,2,1,16.97,16.44,0.53,0.596,0.359,0.7,0.733,0,72,12,48,4550.4,0.4952,1,36.2
V0103,Colombo,Hamburg,Hapag-Lloyd,Container,8,10000,7800,3,0,16.3,16.84,-0.54,0.225,0.6,0.836,0.576,0,12,17,24,4360.67,0.2332,1,11.4
V0104,Singapore,Rotterdam,Maersk,Container,10,24000,8400,1,1,18.11,17.76,0.35,0.572,0.58,0.927,0.867,0,48,1,24,5211.85,0.2985,1,32.9
V0105,Singapore,Rotterdam,Maersk,Ro-Ro,16,5000,8400,7,0,16.41,14.41,1.99,0.23,0.357,0.7,0.776,0,24,2,96,5207.72,0.2743,0,0.0
V0106,Hong Kong,Los Angeles,ONE,Container,8,18000,7250,3,0,20.72,18.34,2.39,0.476,0.272,0.848,0.555,0,12,9,96,2969.44,0.3375,0,0.0
V0107,Colombo,Hamburg,Hapag-Lloyd,Tanker,1,5000,7800,6,0,22.26,21.36,0.9,0.496,0.35,0.934,0.826,0,48,1,72,5137.76,0.1702,0,0.0
V0108,Hong Kong,Los Angeles,ONE,Container,12,10000,7250,12,1,20.73,18.34,2.39,0.554,0.526,0.86,0.964,0,24,19,48,6183.12,0.6554,1,55.6
V0109,Busan,Long Beach,HMM,Bulk Carrier,5,18000,5500,7,0,22.24,24.25,-2.0,0.264,0.269,0.927,0.6,0,48,17,72,3639.41,0.1859,0,0.0
V0110,Chennai,Nhava Sheva,PIL,Tanker,3,18000,800,3,0,17.97,17.57,0.4,0.184,0.368,0.947,0.816,0,48,5,72,3796.86,0.17,0,0.0
V0111,Busan,Long Beach,HMM,Bulk Carrier,1,2000,5500,2,1,15.56,15.02,0.55,0.411,0.5,1.056,0.878,0,72,15,24,4906.99,0.2134,0,0.0
V0112,Chennai,Nhava Sheva,PIL,Container,4,10000,800,9,0,21.38,22.36,-0.98,0.06,0.208,0.939,0.582,0,24,12,96,2293.06,0.0862,0,0.0
V0113,Hong Kong,Los Angeles,ONE,Container,8,2000,7250,9,0,17.6,15.54,2.06,0.367,0.502,0.889,0.56,0,12,4,96,4127.05,0.387,1,19.1
V0114,Busan,Long Beach,HMM,Container,3,10000,5500,7,0,20.71,19.49,1.22,0.375,0.784,0.862,0.759,1,24,15,72,5064.63,0.5335,0,0.0
V0115,Colombo,Hamburg,Hapag-Lloyd,Ro-Ro,10,18000,7800,5,0,16.71,16.16,0.55,0.426,0.756,0.982,0.906,0,48,3,48,5402.74,0.2657,0,0.0
V0116,Shanghai,Dubai,COSCO Shipping,Tanker,2,5000,6200,4,0,14.81,15.84,-1.02,0.212,0.92,0.926,0.622,0,48,14,72,4612.14,0.1341,0,0.0
V0117,Hong Kong,Los Angeles,ONE,Ro-Ro,11,5000,7250,4,0,23.93,23.85,0.08,0.453,0.272,0.803,0.926,0,24,4,24,5872.96,0.2456,0,0.0
V0118,Chennai,Nhava Sheva,PIL,Container,10,10000,800,1,1,15.56,15.1,0.46,0.277,0.236,0.917,0.845,0,48,19,48,4332.48,0.1493,0,0.0
V0119,Port Klang,Felixstowe,Evergreen,Bulk Carrier,21,24000,8100,4,0,23.88,23.95,-0.07,0.157,0.513,0.729,0.699,0,48,6,72,5141.89,0.2684,0,0.0
V0120,Chennai,Nhava Sheva,PIL,Ro-Ro,14,24000,800,7,0,23.77,22.8,0.97,0.234,0.309,0.818,0.782,0,24,17,48,4363.0,0.3504,1,2.6
V0121,Port Klang,Felixstowe,Evergreen,Container,7,2000,8100,5,0,21.94,21.49,0.45,0.589,0.536,0.951,0.985,0,48,18,24,6488.92,0.2906,1,11.4
V0122,Singapore,Rotterdam,Maersk,Container,2,18000,8400,9,0,20.59,19.35,1.25,0.481,0.401,0.954,0.647,0,48,8,24,4941.03,0.2423,0,0.0
V0123,Busan,Long Beach,HMM,Bulk Carrier,9,10000,5500,4,0,19.78,19.34,0.44,0.541,0.166,1.095,0.775,0,72,19,72,4414.39,0.3113,0,0.0
V0124,Port Klang,Felixstowe,Evergreen,Bulk Carrier,16,10000,8100,11,0,22.66,19.02,3.64,0.496,0.622,0.834,0.831,0,48,12,96,5471.62,0.7551,1,14.5
V0125,Chennai,Nhava Sheva,PIL,Tanker,13,18000,800,3,0,16.89,16.17,0.72,0.031,0.127,0.919,0.612,0,24,17,48,2190.48,0.0759,1,2.4
V0126,Singapore,Rotterdam,Maersk,Container,9,24000,8400,6,0,18.68,17.42,1.25,0.794,0.427,0.755,0.57,0,48,19,48,3275.01,0.5804,0,0.0
V0127,Shanghai,Dubai,COSCO Shipping,Tanker,20,24000,6200,4,0,20.19,20.51,-0.32,0.376,0.512,0.731,0.556,0,48,1,48,3776.59,0.2866,0,0.0
V0128,Colombo,Hamburg,Hapag-Lloyd,Container,4,10000,7800,11,0,18.11,17.63,0.48,0.24,0.525,0.873,0.696,0,12,11,72,4598.17,0.1304,0,0.0
V0129,Colombo,Hamburg,Hapag-Lloyd,Container,10,10000,7800,2,1,18.27,15.72,2.56,0.35,0.544,0.824,0.583,0,48,10,72,3377.44,0.5956,1,10.3
V0130,Colombo,Hamburg,Hapag-Lloyd,Container,12,18000,7800,5,0,17.3,15.71,1.6,0.558,0.733,0.913,0.912,0,24,16,48,5305.25,0.6368,1,14.9
V0131,Port Klang,Felixstowe,Evergreen,Tanker,17,5000,8100,4,0,19.64,18.06,1.58,0.204,0.572,0.913,0.999,0,48,5,24,6144.2,0.2679,0,0.0
V0132,Shanghai,Dubai,COSCO Shipping,Bulk Carrier,14,10000,6200,5,0,22.51,23.55,-1.05,0.122,0.929,0.888,0.578,0,72,17,24,3629.76,0.1868,0,0.0
V0133,Port Klang,Felixstowe,Evergreen,Container,14,10000,8100,12,1,16.02,14.31,1.71,0.309,0.626,0.842,0.745,0,48,9,96,4581.42,0.5268,0,0.0
V0134,Busan,Long Beach,HMM,Container,2,18000,5500,9,0,23.34,21.33,2.01,0.685,0.241,0.93,0.562,0,48,8,48,2762.79,0.2784,0,0.0
V0135,Port Klang,Felixstowe,Evergreen,Tanker,21,5000,8100,4,0,20.89,18.83,2.06,0.44,0.458,0.879,0.61,0,12,10,72,4198.72,0.4136,1,56.6
V0136,Shanghai,Dubai,COSCO Shipping,Container,20,5000,6200,6,0,22.23,18.48,3.75,0.126,0.315,0.966,0.695,0,24,8,48,4125.8,0.505,1,7.2
V0137,Shanghai,Dubai,COSCO Shipping,Tanker,11,24000,6200,4,0,19.56,18.9,0.66,0.014,0.933,0.901,0.727,1,48,3,72,5466.22,0.496,0,0.0
V0138,Busan,Long Beach,HMM,Container,16,5000,5500,1,1,21.8,19.41,2.38,0.117,0.471,0.915,0.973,0,48,12,24,6226.99,0.5449,1,22.4
V0139,Shanghai,Dubai,COSCO Shipping,Container,19,10000,6200,2,1,14.16,12.71,1.45,0.333,0.758,0.837,0.728,0,24,4,48,4451.86,0.6075,1,8.6
V0140,Chennai,Nhava Sheva,PIL,Container,6,5000,800,6,0,22.18,22.95,-0.77,0.208,0.263,1.0,0.773,0,72,18,48,2992.24,0.1453,0,0.0
V0141,Shanghai,Dubai,COSCO Shipping,Container,19,2000,6200,8,0,14.4,12.01,2.39,0.459,0.49,0.717,0.661,0,24,9,48,5258.93,0.7546,1,9.8
V0142,Colombo,Hamburg,Hapag-Lloyd,Bulk Carrier,5,2000,7800,9,0,22.9,22.26,0.64,0.425,0.389,0.911,0.55,0,48,4,48,4094.69,0.2448,0,0.0
V0143,Chennai,Nhava Sheva,PIL,Container,4,5000,800,4,0,23.92,23.38,0.54,0.254,0.115,0.992,0.955,0,48,2,72,4594.22,0.0841,0,0.0
V0144,Chennai,Nhava Sheva,PIL,Container,15,24000,800,6,0,16.94,16.66,0.28,0.507,0.504,0.947,0.587,0,48,7,48,3472.83,0.4635,0,0.0
V0145,Busan,Long Beach,HMM,Tanker,4,5000,5500,3,0,16.1,15.72,0.38,0.138,0.595,0.895,0.984,0,48,18,72,5977.27,0.2468,1,14.3
V0146,Mumbai,Jebel Ali,MSC,Container,20,24000,1100,12,1,21.65,20.5,1.15,0.18,0.239,0.7,0.609,1,24,2,48,2848.56,0.3984,1,2.1
V0147,Mumbai,Jebel Ali,MSC,Container,10,10000,1100,9,0,16.53,17.46,-0.93,0.246,0.249,0.86,0.822,0,72,2,72,3777.64,0.1839,0,0.0
V0148,Shanghai,Dubai,COSCO Shipping,Ro-Ro,3,10000,6200,8,0,22.66,22.69,-0.03,0.317,0.455,1.051,1.0,0,48,10,48,6113.61,0.0976,1,17.9
